Dataset,FileName,text,label2a,Starting,Ending
CMU-MOSEI,103114_11," But basically this guy, he's he's from the lovable loser and he doesn't have too many friends until partway through the movie when he meets the the new kid in school and he becomes friends with him and eventually they meet a girl and then the three of them go on a quest to try and make the new kid the class president",0,63.647,87.654
CMU-MOSEI,83859_29," But, believe it or not, that rumor is actually dispelled",0,93.43900227,96.33469388
CMU-MOSEI,262165_23," Yeah, this is a, a really stupid movie, and me and my friends used to get together and watch really awful movies like this and just talk over them and make fun of them",1,144.124,154.263
CMU-MOSEI,273250_3," So, Traitor is a movie about , it's a basic spy movie",0,11.435,16.925
CMU-MOSEI,ZaoFHcbRM9g_1,WOULD IT BE ABOUT YOUR MARRIAGE,0,4.262,6.529
CMU-MOSEI,NuRvTWhELqs_2,"Throughout the meeting, I made it clear to him that he needs to do everything in his power to end the violence, and also to begin a process of national dialogue, a process by which there is the beginning of discussions - real discussions - about a transition government that can bring peace to the country.",0,29.514,53.492
CMU-MOSEI,GjCUDqWSI6c_2,And so I think that they're less likely to pull the trigger on something that might be a little more risky out there on the internet.,0,16.414,23.341
CMU-MOSEI,229967_6," A lot of parts of it were very predictable and I for the most part like romantic movies, but this one I just thought it was really a little bit too cheesy",0,40.35,55.537
CMU-MOSEI,HmXXW45eZL4_0,"Alright, we're talking about humor.",0,0,3.067
CMU-MOSEI,eREud0qYR3s_0,FREDERICK CROSBY: Come to eBay.,0,0,2.358
CMU-MOSEI,QVyxySAaehE_15,Because so many of the things that are of concern to me personally where I live have been addressed in other states and ASHA has been involved in that and is aware of what worked and what didn't work.,0,157.783,170.895
CMU-MOSEI,270416_8, Mike Myers is absolutely awful,1,40.06,42.717
CMU-MOSEI,251251_5," So anyone who likes all that street dancing all those moves, crazy stuff",0,35.77,42.786
CMU-MOSEI,114016_5," So let's just see I mean the whole movies you know, how does this unfold? Are the cops really that stupid? Are the gangsters stupider? Stupider than stupider? Are you stupider than me? So essential questions in life will be answered in this movie",1,40.819,56.785
CMU-MOSEI,110565_6, But we could've done without all the other garbage that they added to this movie,1,45.837,51.297
CMU-MOSEI,0r8KVXUCV6c_13,Are you testifying for Jesus to this world?,0,111.119,114.713
CMU-MOSEI,DgO5O-oDeX8_8,"If you want to discuss about this exam or certification, visit ‘«£certificationscoaching.com‘«ÿ, a free and open certification related community.",0,135.394,147.049
CMU-MOSEI,219600_10," So if you know anything about those movies, these are along the along similar lines as those movies",0,35.96,42.776
CMU-MOSEI,FvoZgWvc3gc_1,ONe of the problems that retailers have is their **** becoming a commodity.,0,2.985,8.145
CMU-MOSEI,JYsAacFmXEo_15,"What you can do from there is setup all your passwords inside this little system which is free, and have it linked out to your project management system so that if any of your virtual staff or team members needs to access your usernames or passwords for certain projects, they can easily use this system, log it in and once they‘«÷ve put it straight up, they‘«÷ll have complete access to anything that they need to do.",0,104.574,130.637
CMU-MOSEI,WXKgBIiP8IA_6,"Huckleberry Finn, the son of the town drunk, is the sidekick character in ‘«£The Adventures of Tom Sawyer",0,28.147,33.976
CMU-MOSEI,45184_5," They're national guard trainees, and I don't think like it's not very good, it's not very gore, like the goriness sucks, the acting sucks, the storyline sucks, it's just like one of those like, like, there it's like a typical horror film that they tried to make scary and stuff but I didn't really feel like it was like that at all",1,42.056,67.331
CMU-MOSEI,CvW0Mh1EWFA_7,And it had the problem that a number of their budgets -- sort of a pattern of the past -- that the budget didn't actually add up.,0,83.492,93.102
CMU-MOSEI,qmx0nQZYHIo_3,It really comes from tax law from Congress.,0,20.385,24.159
CMU-MOSEI,CXvUdCdKTJY_3,""" ""America would never kill its way to the end of its wars,"" it argued",0,39.492,43.754
CMU-MOSEI,240915_4," But if you're not dumb, you'll stay away from it because it's stupid",1,23.807,27.91
CMU-MOSEI,GMHW6XEO1ms_3,THE FACT THAT THE SKY IS BLUE AND THAT CLOUDS ARE WHITE IS NOT AN ATTEMPT BY THE ISRAELY MOSSAD TO TAKE OVER HEAVEN AND CONVERT JESUS BACK TO JUDAISM,0,9.799092971,22.54240363
CMU-MOSEI,caLWajc18Y4_4, Go ahead and engage in some small talk to to break the ice and to help them feel more comfortable,0,27.10975057,33.69705215
CMU-MOSEI,255224_4," It's got that really awful RV meets Are We There Yet type of vibe to it where it's so family oriented, it has such, such moments every five or ten minutes of just unfunny stupidity that it's just a real challenge to enjoy",1,35.89,54.25
CMU-MOSEI,kh6eynD9OIk_13," I cried like a baby it was uh she looked at me like No Daddy, you know because I had to poke her with this needle",0,51.953,58.211
CMU-MOSEI,84670_6, Wilbur the pig is befriended by Charlotte the spider and she promised him that she's gonna do whatever it takes to prevent him from being Christmas dinner,0,17.502,30.554
CMU-MOSEI,98187_6," I can't really say South Park is stupid, but it actually is",1,21.323,26.643
CMU-MOSEI,295793_3," But it was a rainy afternoon, didn't really anything to do so headed out for a matinee",0,10.937,16.386
CMU-MOSEI,97095_26, It's not just action only,0,95.035,97.073
CMU-MOSEI,134298_2," So but since I have read her books, I can tell you that the Queen of the Damned was one of the more interesting ones",0,18.12,26.294
CMU-MOSEI,257045_11," But all in all, it seems like he's trying too hard",0,45.727,49.032
CMU-MOSEI,slz8pd0Wzxs_2,"Essentially, I was able to indicate Yes, and No and give a glimpse of what I was thinking through my facial expressions despite all this the conversation has stayed with me ever since",0,24.635,36.86
CMU-MOSEI,XQOUZhWI1B0_3," I'll tell you what, why don't you come back here, Take my greasy apron, and my stupid hat, and stand back here in the 128 degree temperature, and cook your own burger 'till your satisfied! Oh, and don't forget",0,20.245,32.53
CMU-MOSEI,266852_25, So and in the first scene they have shown that something is happening to the city,0,210.792,216.951
CMU-MOSEI,211875_5," It wasn't my favorite, I actually thought the plot stunk",1,18.14,23.061
CMU-MOSEI,106514_3, The second one was silly and this one was worse,1,10.867,14.89
CMU-MOSEI,S_tGoxSEh5Y_0,"Hello, my name is Vic Schumacher, the company is HPE Financial Services.",0,0,5.431
CMU-MOSEI,ZUqTWOx9jYU_4,"What you're looking at though is preventing a urinary tract infection and if you have a serious urinary tract infection, you definitely want to consult a physician as you may need antibiotics and certain things like that to help you through the process.",0,23.847,40.172
CMU-MOSEI,7EWOMjaKlus_12,"unless if it's something that's really good for me, and then I make myself eat it anyway -- usually",0,36.1292517,41.65895692
CMU-MOSEI,17769_10, the sequel follows Anne who goes to a teaching school to be a teacher,0,31.5,37.898
CMU-MOSEI,270439_1," It's the second part of the three part series, which is one of my favorite action movies with a lot of suspense and drama",0,3.833,14.86
CMU-MOSEI,193514_3," I believe this movie is graphic eye candy, although it is very bloody",0,21.572,26.543
CMU-MOSEI,QbJiphIpzYc_1,"And so with the challenges for marketers is to be able to understand, again, this very difficult issue of giving up control of the brand in order to allow for consumers to have more power to communicate about the brand at a much faster rate.",0,4.511,25.975
CMU-MOSEI,NkbRuTJaj_M_17,These are just some regular manners that will help your child at least get the basics to grow up and be a gentleman.,0,74.133,81.369
CMU-MOSEI,an_GzG40hcE_5,So let's dive in and see if a basic monthly plan is right for you.,0,23.318,27.731
CMU-MOSEI,202810_11, It's it's They're all good in their individual ways and yet it doesn't add up to much,0,71.17,77.597
CMU-MOSEI,BdqoZ5qpz0E_21,"My book, ""Building Blocks for a Successful Legal Nurse Consulting Practice"" gives you more great tips about building a firm foundation for your LNC business.",0,139.953,150.422
CMU-MOSEI,5F-KEGK9eXo_9,"So to pull that back, I actually think that interactivity is a really big theme and trend that you're going to see in a lot of different types of content.",0,68.496,78.834
CMU-MOSEI,55T4QNcdpOk_4,What we got was a lot of expensive instruction in business ethics at business schools and that didn't make businessmen any more honest.,0,18.07,28.878
CMU-MOSEI,dHk--ExZbHs_8,"The consumer label and signage are designed to highlight four Gulf of Main species - Cod, Haddock, Lobster and Northern Shrimp ‘«Ù all of which are abundant, responsibly managed and not overfished.",0,96.68276644,109.9526077
CMU-MOSEI,w-PFjo89Dpw_8,I enjoyed a lot this program.,0,100.154,104.416
CMU-MOSEI,243341_4, They're terrible,1,16.534,18.332
CMU-MOSEI,126872_6, I kind of took the whole thing as a joke,0,23.268,26.005
CMU-MOSEI,341983_7," It's just one of those movies that you just gotta own, you know? I mean it's just so funny and I mean my favorite part has gotta be the aww man there's just so many good ones",0,15.087,28.12
CMU-MOSEI,40367_17," So Tenacious D in The Pick of Destiny, it's really, it's really stupid funny",0,111.059,116.708
CMU-MOSEI,xRJXYUZVdas_14,It will be one of the best decisions you‘«÷ve ever made in your life.,0,71.339,75.113
CMU-MOSEI,_7HVhnSYX1Y_8,Consider working with related businesses so that both benefit from the team work.,0,63.108,68.099
CMU-MOSEI,82666_1, Hot Fuzz is a movie which is which stars Simon Pegg in kind of a lead role you could say,0,7.185,14.9
CMU-MOSEI,ITQTVfk9Iqo_8,you are not a child and the hacker is obviously not interested in you.,0,78.523,83.554
CMU-MOSEI,YVBsDJtAbk4_2,And secondly there's a question of just how much time and effort the Obama administration is going to be able to actually put outside of the United States.,0,21.19433107,29.56530612
CMU-MOSEI,119348_5, Their jacket thing sucks,1,41.79637188,43.94376417
CMU-MOSEI,47056_3," And really what it's about, it's about this this gang of thieves that are going after the big score",0,16.254,25.146
CMU-MOSEI,273531_10," And I don't wanna ruin the pathetic plot of this movie but obviously he has to confront what's behind these visions in the mirrors and discover why it's happening, how it's happening, how to stop it, why it's happening to him",1,57.321,73.058
CMU-MOSEI,iceSGs0MXaA_1,"We‘«÷ve grown as people, me independent from them",0,2.246258503,8.43446712
CMU-MOSEI,JHJOK6cdW-0_1,"The project took on the task to empower the Roma families, or to be precise the population of children up to the age of five.",0,20.136,31.722
CMU-MOSEI,xmLJHru6Z1M_9,"Your shoulders should be rolled back, sticking out your chest a little bit, and your chin should be up, exposing your throat just a little bit.",0,41.597,49.192
CMU-MOSEI,nXWNHVZtV9A_6,Much of it is perception.,0,40.819,43.016
CMU-MOSEI,92331_19, Stay far away from it and burn it in coals when you do see it,0,62.878,67.49
CMU-MOSEI,223431_5, Crashes on earth in a small town and aliens get loose and start killing all the inhabitants,0,28.327,36.241
CMU-MOSEI,AmGocfFQfVE_11,"Although, to be honest, while I'm here I might just as well apologise now in advance to skunks and to snakes, as well.",0,79.151,87.624
CMU-MOSEI,213619_10," So you should see if they survive, if they die if they bleed to death, if they get their heads chopped off, limbs chopped off, if you're into that stuff",0,64.984,73.237
CMU-MOSEI,aDvgbBqTWWE_21,One that is not a big one is purchasing online.,0,87.243,93.182
CMU-MOSEI,Yi6Qyn4X8is_7,And the thing I want to say is that this generation has to be the dumbest generation that I have ever seen.,1,69.384,74.614
CMU-MOSEI,30762_6," And she, inside the asylum she meets Angelina Jolie who is a sociopath",0,36.758,41.469
CMU-MOSEI,mN1Z5xEOy10_0,"release 33,000 emails that have been deleted",0,0,13.024
CMU-MOSEI,244623_3," Crazy concept, actually it's kind of dumb",1,17.27210884,20.70657596
CMU-MOSEI,103114_12, And that's pretty much the most there is in terms of a story,0,87.273,90.398
CMU-MOSEI,237385_12," I mean it seems confusing but when you watch the movie it's really not, it's really stupid",1,87.922,92.873
CMU-MOSEI,218708_9," And he, he says it's time for him to leave, which kind of implies, like, he's going to die",0,31.83900227,38.91519274
CMU-MOSEI,266791_24, And it doesn't help that the words they're delivering are just dumb,1,159,163.652
CMU-MOSEI,257531_9," Instead of, you normally hear about American slavery of the African Americans",0,52.901,58.501
CMU-MOSEI,a7HHg_JygJo_11,So you never want to get into the spot of living in ignorance.,0,63.008,68.169
CMU-MOSEI,271598_18," This movie is dull, dull as dirt, duller than dirt",1,82.634,88.762
CMU-MOSEI,_iRAn6feOmw_20,"And approach them and find out, what type of businesses do they fund, what are their loan terms, do you qualify?",0,149.591,158.094
CMU-MOSEI,41026_8," He was an assassin, but his brain his mind, just overwhelmed and he was unstable and he forgot everything",0,32.268,40.382
CMU-MOSEI,121358_18, So it's got a little religious undertones in it,0,94.167,97.781
CMU-MOSEI,NkbRuTJaj_M_8,"So if you eat like a slob, people are going to think you're a slob.",0,27.11,30.883
CMU-MOSEI,218757_6," At the beginning of the film it starts out and the rats are actually pretty ugly, I didn't think they would be that ugly, I thought they would be a little more cartoony and cute looking",1,43.552,52.095
CMU-MOSEI,kDyK9VGfLW8_4,"It's called a ""certificate of deposit"" and it bears an interest rate that the bank will pay you after a certain period of time has elapsed.",0,30.213,37.947
CMU-MOSEI,nz2vkMyqfeE_7,And we have user groups across all the-- across the board.,0,49.928,53.751
CMU-MOSEI,203806_18, And this guy's a real bad mother effer,0,159.239,163.751
CMU-MOSEI,139006_10," I think one of the things that kind of bothered me is that when they brought the character back, the way they did that was really annoying because they relied on the children the characters as being really idiotic",0,131.612,145.303
CMU-MOSEI,OdKp0hYomgs_6,"Now we've got Super, and Vegeta's just as grump ever",0,27.22947846,31.4122449
CMU-MOSEI,270444_4, Pretty much it's more just rampaging through Hellboy beating people down and saying clever little phrases,0,32.198,41.41
CMU-MOSEI,_BvNNdEkhZA_1,The trailer is just in the background right now.,0,5.579,8.345
CMU-MOSEI,276217_24," And then a bunch of others, like Tyrese Gibson, people like that",0,93.988,97.652
CMU-MOSEI,ooAF6I-fmTg_7,OR are you one of these Christians who is an utter hypocrite because you believe God is dead?,1,48.222,56.495
CMU-MOSEI,210618_2," And I mean, but what restaurant will allow a rat to be a chef",0,13.341,20.776
CMU-MOSEI,4Ry6M_ZfJQc_3,I believe it would be Constitutional for the government to target and kill any US citizen with a drone or with a shotgun without due process!,0,29.794,41.09
CMU-MOSEI,o5OsO6Aq9pA_6,"If the price were lower, this plant would have no reason to run",0,20.43492063,24.07891156
CMU-MOSEI,101635_7," But the scenes, just completely ridiculous what goes on in this movie and it's all just so funny",1,56.533,63.888
CMU-MOSEI,198112_9," One of the best comedies out there of our age as opposed to like, those other comedies that are actually really stupid with just bad bad jokes and what not",0,67.199,75.801
CMU-MOSEI,261900_26, The next ridiculous part is that a letter written by a little girl to a famous author would actually solicit a visit,1,119.899,128.063
CMU-MOSEI,96700_2," And so refer to him as the daywalker and xxx basically they just want to kill him, while one of the other guy probably just wants to use his blood for a ritual or something along those lines",0,30.382,44.333
CMU-MOSEI,100499_4, Like Tim Allen turns into this shaggy dog like he literally turns into this dog,0,32.398,38.267
CMU-MOSEI,oOhxCwkZsUI_9,So that is the formula for annuities.,0,65.113,69.376
CMU-MOSEI,X2leyjuolDM_10,And so the art science question is still real.,0,58.538,61.394
CMU-MOSEI,275620_9," The first one is kind of mediocre but the rest of em are all really good, with the exception of this one and they followed up my beloved fourth one with this steaming pile of garbage",1,63.507,74.375
CMU-MOSEI,SNBqe_JpZC4_2,So before using these scrubs make sure that when you are buying ingredients you make sure that there is not anything that you are allergic to.,0,6.646,14.451
CMU-MOSEI,88888_5," This one is to me, pretty much ridiculous and it seems as though, they were just trying to make it as extreme as possible and that is definitely the truth in one scene where Tom Cruise is riding through some flames on his motorcycle doing a nose wheelie and stuff like that",1,24.506,48.224
CMU-MOSEI,bcns0Gu66D8_6,I think the other aspect for her is this is the last chance she's got to make a positive case for her potential presidency,0,32.507,43.754
CMU-MOSEI,74268_8," Disc one is the collector's edition and it's got spotlight on location deleted scenes, outtakes, stuff like that",0,29.544,36.9
CMU-MOSEI,97095_28, Kill the bad guy,0,96.851,98.37
CMU-MOSEI,AIPqRuTjI4E_16,You'll notice on our site the numbering system under each of the products.,0,77.485,83.175
CMU-MOSEI,79934_2, police guy and he's a mean guy,0,11.03628118,15.57823129
CMU-MOSEI,Xq7zLxYHxd8_9,"So you've got to make sure that you get the cutaway shots and I would suggest, especially if you're shooting digital, do this, shoot the floor, shoot the wall, shoot the cat in the window, shoot the building, shoot people just hanging out just looking at each other on the set.",0,75.27,94.13
CMU-MOSEI,MNLG4-diuYM_7,I would do a lot of these sets until I couldn‘«÷t take it anymore,0,44.371,49.99
CMU-MOSEI,113265_9," Also like the second one, just kind of left you there like , what happens? So you definitely know they're going to make a fourth one but I don't like that kind of thing and I think Pirates of the Caribbean has gone on way too long and they should probably stop making it after this next movie or just stop in the middle of making the next movie and realize that their movies suck",1,58.568,84.811
CMU-MOSEI,10223_6, They're basically saying this happened and this happened,0,40.908,43.994
CMU-MOSEI,7Vp6Lvin1rA_4,"In the second person not used very often, you read the story and you are the protagonist.",0,23.568,31.143
CMU-MOSEI,367506_13," The acting was great, they really come into their characters",0,65.153,69.316
CMU-MOSEI,F8KE2ZhoUe4_21,"You are invited to attend many fun social events this week, which you will find on your schedule.",0,145.471,151.679
CMU-MOSEI,96106_10," And there's not too many bonus features I don't think, but the DVD was about nine dollars and if you like Garfield, or you just want something to watch and laugh at I'm pretty sure you will laugh at this DVD",0,58.339,75.372
CMU-MOSEI,211875_10, Not my favorite show and I do not recommend it for anybody it was just retarded,1,56.094,62.931
CMU-MOSEI,243338_17," So It's this whole family kind of comedy thing about how they how they don't get along and then the main plots really about how you know Fred (stutters) he should be more like his brother and how but Fred kinda keeps messing up with his brother and like he marks everybody on the on the , he believes everybody shouldn't get a president present on Christmas and I mean, it's just it's just crazy stupid",1,70.541,96.285
CMU-MOSEI,36164_4," Everything he does turns to gold, he's the golden child type person and he skips school that day",0,26.741,32.659
CMU-MOSEI,45175_6," It had its moments but for the most part it's just one of those stupid comedies it's about a employee of this like, store who does slacks off a lot and this really pretty girl, Jessica Simpson, who moves to the store and he finds out that she really likes employees of the month",0,34.134,57.643
CMU-MOSEI,61035_7," And you kinda have to stay on your toes and, and watch the movie or not leave for twenty movies and think you can come back and know what it's about",0,46.486,56.565
CMU-MOSEI,262165_8," And the reason Anthony Hopkins' character does that is so he can take his mind and implant it into the body of Emilio Estevez's character, thus giving him eternal life or some nonsense",0,51.265,63.779
CMU-MOSEI,MFrwi-RibUk_11, Now if you don't want to do that we have two one-day seminars,0,92.69070295,97.39229025
CMU-MOSEI,w_qYZSVx2dM_19,See you there!,0,116.297,118.355
CMU-MOSEI,238803_13," I mean, we don't need that she has lips we know we see them she doesn't need that",0,86.834,91.556
CMU-MOSEI,BRSyH6yfDLk_3,"Fuckin hypocrite i had not seen as many Indians in New Delhi as I saw in New York Subway, Dunkin Donuts, Hudson news, Hudson Deli",1,30.92108844,46.81723356
CMU-MOSEI,130149_4, It says a release date,0,29.305,31.572
CMU-MOSEI,102389_9," even though they're not considered curse words, they were using the word poop and crap things like that",0,33.785,43.674
CMU-MOSEI,90667_0,Hi,0,0.151,1.43
CMU-MOSEI,WJ2QF4Kw9Y8_2,There are various derivatives of this.,0,15.696,18.512
CMU-MOSEI,3sUS8vXbRwg_11,I‘«÷m no different from you that way.,0,67.019,71.112
CMU-MOSEI,So3bPzg2bq0_5,For misdemeanors the most time you can do in jail is one year.,0,22.17210884,26.44240363
CMU-MOSEI,FHlzZ2VxuGQ_0,The generation we live in today is a generation that will continually accuse GOD of negligence.,0,0,10.59
CMU-MOSEI,qrSW93EtuMc_0,"A new survey released yesterday by KPMG International, titled Navigating APAs, shows that respondents believe the benefits of an APA outweigh the costs.",0,0,9.672
CMU-MOSEI,61557_10," They are a bunch of misfits , and I mean they do everything from fight to a bunch of stuff at the, at the games",0,53.25,64.098
CMU-MOSEI,708sewcSXVY_3,"And with our new tools, if you think about this electronic ear I'm reminded of a great section of a book called Mind And Nature by Gregory Bateson.",0,19.647,34.385
CMU-MOSEI,22719_8, But I think it's really entertaining and it kicks some serious butt,0,68.097,72.918
CMU-MOSEI,91284_7, The Storyline is mediocre at best,1,60.394,63.819
CMU-MOSEI,112172_18," Even though rats need to steal to live, but",0,114.581,118.045
CMU-MOSEI,267278_17," In reality I really feel this movie is like, yeah, it's about on par with some of the stupid Saturday Night Live sketches",1,105.043,113.386
CMU-MOSEI,271594_35, It's stupid,0,141.939,143.737
CMU-MOSEI,l4oMbKDuW3Y_8,"And when you look at the percentage of young people in the Middle East over all you can see 60-70 percent are below the age of 25. They need to see the way to make it to the top, the way to succeed.",0,61.771,78.795
CMU-MOSEI,261900_24," And for her to be alone on this island is ridiculous without a father or a babysitter, anything",0,110.63,116.788
CMU-MOSEI,HMRqR-P68Ws_16,"Pharmaceutical drugs do work, but they work at a big price; a lot of side effects and suppression of symptoms and ultimately no cure.",0,117.913,127.165
CMU-MOSEI,112223_10," But if that's your thing, then I guess you could try it out",0,46.067,49.78
CMU-MOSEI,84924_6," So you can't hate it because it's not, it's not complete garbage but it's not exactly like, you know, the best movie you've ever seen",0,32.398,40.402
CMU-MOSEI,80855_15," As you see, it keeps to the same packaging which is amazing you know",0,44.63,49.431
CMU-MOSEI,0r8KVXUCV6c_11,"Are you a wicked lukewarm Christian, who has fellowship with ungodly people, and does not proclaim Jesus, who does not stand for truth?",1,86.764,98.62
CMU-MOSEI,270665_31," I would say that this movie should have gone straight to DVD or straight to the garbage, quite frankly",1,189.052,195.33
CMU-MOSEI,267466_21, It's a little bit ridiculous with the extremist religious thing at the beginning and then the scandal and then falling in love with the girl,0,103.376,111.261
CMU-MOSEI,rv1gp0wEhI0_4,"So in my case I was looking for a hotel, something that had ballrooms, convention areas, places where I could set up vendors, places where I could have guest speakers.",0,26.312,38.037
CMU-MOSEI,68828_6, Stitch is an alien from from outer space from a different world,0,17.641,26.633
CMU-MOSEI,hfvmQuhqMmY_12,If I had a question about anything I'd shoot him an e-mail and within minutes I get an e-mail back with more than what I asked for.,0,53.729,61.145
CMU-MOSEI,267278_7," It's just primarily that most of the movie is really crude and, you know, for a guy that usually does humor that's a little better than this, I mean it can be slapstick and silly, but not usually quite this level of just crude stupidness",1,30.043,44.173
CMU-MOSEI,105507_5," Great, great movie about a rat that wants to become a chef",0,43.692,47.426
CMU-MOSEI,136215_8, She's a little bit of an oddball,1,52.921,55.727
CMU-MOSEI,rvQ2cRnroOU_6, Some Commercial Property Lenders use this information to determine the loan amount they will lend and some will use this information determine if they are going to lend to you at all.,0,32.857,43.744
CMU-MOSEI,Itqbc2TBXWY_20, They then will give you the information on where this event will be located and the time that you should come,0,177.5278912,185.7714286
CMU-MOSEI,254298_4," Just the first line of the movie was just, it was just ridiculous",1,21.58231293,25.05668934
CMU-MOSEI,48300_6, But he does when he's looking for directions and something happens that both of them don't expect which is that they fall in love and she kind of learns that there's more that she wants to life than being a prostitute,0,34.244,51.107
CMU-MOSEI,288714_6, The story line was completely stupid,1,27.888,32.5
CMU-MOSEI,03X1FwF6udc_24,Because on those types of assets you want to have a growth rate.,0,121.834,125.259
CMU-MOSEI,vRydHjRzDX0_2,"So, for example, you can go out and find investors that like your domain.",0,9.739,15.239
CMU-MOSEI,xvnFF0FiyS4_7,And if there was a new feature that came out for my scooter they made it more comfortable or functional that'd be great,0,19.5968254,27.02222222
CMU-MOSEI,258672_0,"Hi I'm reviewing the movie in theaters, Step Up Two the Streets",0,0,4.893
CMU-MOSEI,1YEgMQ1xxzQ_2,"If CITES is ever going to be successful again, the people who care about these endangered and protected species, and who believe that trade really can be used for conservation are all going to have to come together to demonstrate that we can make a difference.",0,43.822,67.131
CMU-MOSEI,270665_15," The writing was pathetic, quite frankly",1,119.989,124.082
CMU-MOSEI,mgpoY1-110U_17,"By putting a movement with it, your body can connect to it better.",0,90.077,95.447
CMU-MOSEI,ROC2YI3tDsk_8,"There are great fun parts to the job about seeing great products, great suppliers, but actually there‘«÷s a lot of time needs to be spent doing the number crunching analysis, it‘«÷s a boring part but it needs to be done, it‘«÷s all part of the job.",0,54.158,66.912
CMU-MOSEI,87163_9," The whole story outline is, again, mediocre",1,124.838,129.729
CMU-MOSEI,gfHrSg3BwiQ_3,"When you talk about the mind in general, the brain, these, this is something that is really essential to who we are yet we have such little understanding of it",0,29.225,40.073
CMU-MOSEI,210238_10, I found this movie absolutely dumb,1,53.48979592,57.49297052
CMU-MOSEI,Wmhif6hmPTQ_9,"It could be buying a car, in three years.",0,94.177,97.851
CMU-MOSEI,2QOf2wSu0j0_6,So you have to have data.,0,24.675,27.052
CMU-MOSEI,gXDRWhJbfFU_7,"Now that doesn't mean that you still can't hire me to come and do a workshop for you and maybe kick it off with a great keynote but I'm happy to make these things available for free for the organizations that may not have a budget for something like this, whether they might be in a governmental organization or just going through a tough time right now.",0,101.74,123.623
CMU-MOSEI,98636_4, The movie's kind of silly,1,40.669,42.687
CMU-MOSEI,I3SPlbTGuNc_12," As you would know at this conference, more than 60 per cent of Australia‘«÷s rainfall falls in Northern Australia, and we have a number of studies out looking at what we do next to better harness those resources, including CSIRO studies we announced a couple of years ago that are due back within the next year",0,90.486,107.609
CMU-MOSEI,238545_14," Ones that you can definitely memorize and just sing all the time, I know I sound like a dork but I love it that much",0,116.886,123.752
CMU-MOSEI,191616_4, I saw the movie when I was like thirteen or fourteen and it scared the crap out of me and this was before I seen a ton of horror film and granted you're kinda a babe in the wood if you are seeing it that that young and you know that uneducated about horror films but it really did and I also showed it to my thirteen year old brother recently and so I can definitely attest it and it can still scare the crap out of people who have never seen it and haven't seen a lot of horror movies,0,27.938,58.151
