Dataset,FileName,text,label2a,split,Sentiment,Original FileName,Starting,Ending
CMU-MOSEI,102213_11," The story sucks, the characters were really wooden and plain and I liked some of the actors and actresses, so I'm not sure what was going on there",1,0,negative,102213,68.406,76.38
CMU-MOSEI,243338_21, It's really stupid,1,0,negative,243338,100.234,102.371
CMU-MOSEI,252919_9, Even the back sucks,1,0,negative,252919,60.035,61.973
CMU-MOSEI,110788_4," This movie is, I would give it a one out of five, it is garbage",1,0,negative,110788,42.704,49.002
CMU-MOSEI,291121_12," I it doesn't have a good message, no good characters, the characters are portrayed as dumb and over the top, so don't go see it",1,0,negative,291121,95.734,107.29
CMU-MOSEI,290088_8, But it's just overall another one of these stupid movies,1,0,negative,290088,55.136,61.304
CMU-MOSEI,223338_11, It's just him being an idiot and a dork and it's pretty funny,1,0,positive,223338,49.688,55.717
CMU-MOSEI,244623_5, And whenever you watch this you'll realize that the movie's kind of dumb,1,0,negative,244623,23.77732426,28.71836735
CMU-MOSEI,kqXpf26EL-s_0,bad -- the content is -- the whole thing is shit,1,0,negative,kqXpf26EL-s,-0.487528345,2.637641723
CMU-MOSEI,268836_23," Mark Wahlberg, terrible, terrible actor",1,0,negative,268836,109.702,113.416
CMU-MOSEI,jFpRdhl3fgw_1,Dont baby me wer're done baby seriosly are you retarded NOO did you just respond with justin beiber lyrics as im breaking up with you -_- ohhhh,1,0,negative,jFpRdhl3fgw,0.350566893,11.90657596
CMU-MOSEI,257534_10, So a completely ridiculous story,1,0,negative,257534,54.567,57.044
CMU-MOSEI,234641_5," It's it's as dumb as it can get, not scary, not, not even remotely good",1,0,negative,234641,12.852,18.721
CMU-MOSEI,113265_8, Also the ending of that movie sucked too,1,0,negative,113265,55.505,59.389
CMU-MOSEI,j1m6ctAgjsM_7," Cameron Harold's, Meetings Suck",1,0,negative,j1m6ctAgjsM,43.602,46.648
CMU-MOSEI,257277_16," If you have, if you hate dancing there's no point in even checking this out really cause the plot sucks and the dancing is only there for people that enjoy dancing",1,0,negative,257277,129.068,140.075
CMU-MOSEI,268258_7," It was just kind of, it was a really stupid movie",1,0,negative,268258,59.117,62.711
CMU-MOSEI,259260_27, What more can you really say about a really dumb movie,1,0,negative,259260,110.39,114.284
CMU-MOSEI,234641_4, It's stupid,1,0,negative,234641,12.194,13.852
CMU-MOSEI,208148_3," I think it was kind of corny, you know I mean some of the the jokes in here were just outrageously you know dumb for me",1,0,negative,208148,18.1,29.237
CMU-MOSEI,88888_1, Honestly I thought this movie sucked,1,0,negative,88888,5.948,8.474
CMU-MOSEI,MWCNzYUCys0_5,Smack talk broadcasting would also include taking a e-mail that they have sent you and just forwarding to hundreds and thousands of people so everyone could look at that e-mail and realize of what a idiot he is.,1,0,negative,MWCNzYUCys0,75.43,91.985
CMU-MOSEI,224263_4, The acting in it is mediocre,1,0,negative,224263,25.463,28.21
CMU-MOSEI,252919_8," It doesn't have a good story at all and the acting's terrible, and you know a movie sucks when the best they can do is try and pull the two big names out of it and put them on the front cover to trick you",1,0,negative,252919,47.673,59.937
CMU-MOSEI,212532_9," Not really that funny, kind of stupid, acting's not that great",1,0,negative,212532,48.272,53.562
CMU-MOSEI,114016_3, But they're still gonna try it because they're stupid,1,0,negative,114016,28.826,32.709
CMU-MOSEI,278474_3, And a lot of the movies but Insurrection was a stinker,1,0,negative,278474,31.43,35.543
CMU-MOSEI,243341_18, It's just stupid,1,0,negative,243341,62.23,64.288
CMU-MOSEI,94983_5," This DVD, however, sucks",1,0,negative,94983,25.573,28.19
CMU-MOSEI,225768_11," When you see the ending, if you ever see the ending, you will probably think it's the stupidest thing you've ever seen before because it's it's really over the top the way they ended this one",1,0,negative,225768,73.714,85.839
CMU-MOSEI,79203_10," So, Idiocracy, rated R",1,0,negative,79203,103.636,105.384
CMU-MOSEI,209775_7," I thought that , you know, it's just overdone, dumb, silly, ridiculous",1,0,negative,209775,49.569,55.917
CMU-MOSEI,40129_1, This is a pretty silly film with Josh Hartnett,1,0,negative,40129,2.406,5.771
CMU-MOSEI,99501_2, This is a pretty ridiculous movie,1,0,negative,99501,6.317,10.19
CMU-MOSEI,134298_0,"Hey Expo TV, I'm Dia, and like anybody else who ever lived, I will always make fun of Anne Rice because, I like like I've totally read enough of her books to make fun of her, so I'm not I'm not going in blind and just you know following the crowd and being like oh ho ho, Anne Rice is crazy",1,0,positive,134298,0,17.165
CMU-MOSEI,268836_22, The rest of the movie stunk,1,0,negative,268836,107.477,110.243
CMU-MOSEI,225416_1," Playing over my shoulder here is Alien Resurrection, and it's a pretty stupid movie",1,0,negative,225416,1.268,7.616
CMU-MOSEI,40129_5," And it it tells the story of that dynamic as he keeps that vow or, I won't give it away but it's a pretty silly film",1,0,negative,40129,54.418,65.136
CMU-MOSEI,28006_14," It's just a horrible, stupid movie",1,0,negative,28006,95.664,99.737
CMU-MOSEI,218757_11, There's also another part of the film that where like Remy's father takes Remy to show him what humans are like and he takes him by a store front and the storefront sells rat poison and there are all kinds of dead rats hanging on the window and I found that incredibly gross,1,0,negative,218757,91.015,107.12
CMU-MOSEI,252919_5, This movie is just stupid and terrible,1,0,negative,252919,21.991,25.466
CMU-MOSEI,245582_11," And but there were some scenes that were, that went over the top with trying to make it humorous by, and, it ended up just being disturbing or disgusting",1,0,negative,245582,88.5,112.438
CMU-MOSEI,243341_22," You know, they just did all this stupid stuff",1,0,negative,243341,76.996,81.399
CMU-MOSEI,112169_11," I thought the Umbridge actress was pretty good, she was a bitch which is what I wanted but, the movie, it tried putting random scares for no reason and the special effects were alright but with the budget this film had and how high my expectations were, this film is very horrible",1,0,negative,112169,87.582,111.051
CMU-MOSEI,72385_16," It's dumb, it's stupid, it's boring",1,0,negative,72385,58.03945578,62.90068027
CMU-MOSEI,262226_7," All right? Now, the premise of the movie, Meet the Browns, is extremely stupid",1,0,negative,262226,14.109,21.505
CMU-MOSEI,56276_11," I mean there's some stupid funny movies out there but this I mean it it you had to have the maturity of maybe a five year old to really, really think this is a funny movie",1,0,negative,56276,56.044,66.892
CMU-MOSEI,136416_6, The guy just has all these quirks and all these little things and he's kind of a dork and it's just a really funny portrayal of a person,1,0,positive,136416,46.835,55.867
CMU-MOSEI,217395_1, This is a very stupid movie,1,0,negative,217395,6.297,11.597
CMU-MOSEI,80627_10, It's xxx a stupid film,1,0,negative,80627,57.002,61.195
CMU-MOSEI,238567_10," basically it's just, to me stupid comedy with stupid scenes It there's to me I wouldn't buy this movie",1,0,negative,238567,34.553,44.961
CMU-MOSEI,1tQOvm5eQOA_8,That excuses the fact that Americans are so lazy when it comes to languages,1,0,negative,1tQOvm5eQOA,40.19002268,45.230839
CMU-MOSEI,0r8KVXUCV6c_14,Or are you a lukewarm Christian who wants to be part of this world?,1,0,negative,0r8KVXUCV6c,114.302,119.273
CMU-MOSEI,0r8KVXUCV6c_10,They are wicked lukewarm Christians.,1,0,positive,0r8KVXUCV6c,83.601,86.986
CMU-MOSEI,200941_8, So I mean the whole plot was kind of stupid,1,0,negative,200941,45.817,50.14
CMU-MOSEI,mxFU6TrHChY_18,"Are you stuck in dead religion and hearing from these pastors that preach from the Bible but who are hypocrites, because they don't hear from God, and they are themselves stuck in SIN?",1,0,negative,mxFU6TrHChY,137.08,149.334
CMU-MOSEI,112029_4," The real outlaws were, pretty ugly fellows",1,0,negative,112029,29.285,32.799
CMU-MOSEI,79925_13, And this continues that you'll see her progress as being just a very lame girl,1,0,negative,79925,96.412,103.488
CMU-MOSEI,96179_14, CGI was stupid,1,0,negative,96179,55.126,56.874
CMU-MOSEI,f_ZJ7L14oYQ_21,They just so much more convenient than stupid boots that take forever to put on and just aren't comfortable!,1,0,negative,f_ZJ7L14oYQ,74.921,81.618
CMU-MOSEI,256935_18," For a movie that sucks this bad, two hours is way too much, so",1,0,negative,256935,85.02811791,90.41814059
CMU-MOSEI,243338_8, It's really kind of a stupid movie,1,0,negative,243338,24.655,27.292
CMU-MOSEI,93119_3, The acting was {laughter} pretty ridiculous at times and it's just,1,0,negative,93119,27.04,33.567
CMU-MOSEI,133201_6, This is ridiculously horrible,1,0,negative,133201,34.653,37.049
CMU-MOSEI,102213_13," Unfortunately, it seems like it'll be a good bomb",1,0,negative,102213,81.486,85.01
CMU-MOSEI,72385_7, Worthless people,1,0,negative,72385,25.94240363,27.92018141
CMU-MOSEI,114016_4," But the one thing they do have going for them is that these two cops right here in Disorganized Crime, are actually stupider than they are, not very smart",1,0,negative,114016,32.228,41.35
CMU-MOSEI,267694_13," It's like one of the most stupid comedies, like you don't really laugh that much, but, but you laugh at some parts but as soon as it ends you're like, I just wasted like, ninety minutes of my life and like like ten dollars",1,0,negative,267694,79.141,93.282
CMU-MOSEI,267466_12," But when it's, in terms of this movie it was just so pointless and didn't seem to go anywhere and was just kind of a big circle of ridiculousness actually",1,0,negative,267466,41.268,52.524
CMU-MOSEI,63951_11, I was falling asleep half the way and it was ridiculous because ticket prices are so expensive so I don't recommend you see this,1,0,negative,63951,74.233,83.763
CMU-MOSEI,238060_9," They're not entertaining, they're gross, they're not really meant to be seen",1,0,negative,238060,76.817,81.219
CMU-MOSEI,-9y-fZ3swSY_3,"And lastly, hey or hey bitch",1,0,neutral,-9y-fZ3swSY,16.055,22.832
CMU-MOSEI,212532_8," She's just running into stuff the whole time and it's just, it's ridiculous",1,0,negative,212532,42.545,48.523
CMU-MOSEI,28006_21," It's from the director of Blade, that should have told me in the first place cause Blade sucked, this sucks",1,0,negative,28006,135.753,143.168
CMU-MOSEI,238042_24," Paul Newman is pretty good, but I think Tom Hanks was woefully miscast and the kid can't act and I think the story was silly",1,0,negative,238042,127.751,135.865
CMU-MOSEI,122602_13," But Topher Grace from That seventies Show actually plays Venom, which I thought was a stupid choice",1,0,negative,122602,69.284,75.592
CMU-MOSEI,133201_8," It's supposed to christmas type scary movie and it's just, it was just ridiculous",1,0,negative,133201,38.973,47.905
CMU-MOSEI,221740_5," It is stupid, ridiculous, slapstick, like really cheesy, cheesy lines that they think they're funny and I don't think they're funny",1,0,negative,221740,32.527,43.505
CMU-MOSEI,4wdeBJ39Cuw_5,I found myself earlier tonight wanting to like punch him and like get this out,1,0,positive,4wdeBJ39Cuw,39.5015873,45.28072562
CMU-MOSEI,202826_9, Hopefully you're not gonna see it anyway because it sucks,1,0,negative,202826,99.186,104.207
CMU-MOSEI,261900_25, So that's the first ridiculous part of the movie,1,0,negative,261900,116.686,120.899
CMU-MOSEI,220134_17," Apparently, she's she's quite dull, the actress who, who played the part",1,0,negative,220134,81.67573696,88.44263039
CMU-MOSEI,204519_6, She's Cam Wexler a penguin aquarium person she loves taking care of the penguins and this is really boring and ridiculous so,1,0,negative,204519,53.46,66.323
CMU-MOSEI,74101_8, The whole plot line was just silly and stupid,1,0,negative,74101,63.008,69.765
CMU-MOSEI,233939_3, This one was horrible,1,0,negative,233939,10.468,12.695
CMU-MOSEI,130426_6," And in this movie, it's all done with machines, and it's just not nearly as cool it it gets rather stupid",1,0,negative,130426,33.605,41.38
CMU-MOSEI,VWik5oKP6IU_10,""" If he says ""How come you don't see niggers the way I see them",1,0,negative,VWik5oKP6IU,50.37687075,54.28027211
CMU-MOSEI,268836_25," Dude is so bad, it's just like embarrassing, some of the acting he does",1,0,negative,268836,114.292,120.699
CMU-MOSEI,273250_26," Which is bad because the actors do a good job, but that cannot save it from being an atrocious pile of junk",1,0,negative,273250,114.451,122.156
CMU-MOSEI,46808_5, It just became kind of silly as you watch the movie,1,0,negative,46808,22.62,28.279
CMU-MOSEI,240915_3," And if you are dumb then you can watch it and you can be like, oh I like this movie",1,0,positive,240915,18.689,24.688
CMU-MOSEI,79935_14, The script was bad and it's just totally a gross movie,1,0,negative,79935,97.121,101.463
CMU-MOSEI,3ocpWAmSNUE_13,They said He was CRAZY!,1,0,negative,3ocpWAmSNUE,101.98,104.137
CMU-MOSEI,46604_8," I really didn't care that much because I wouldn't have wanted to see them anyway, but this movie is just a real stinker",1,0,negative,46604,53.56,60.726
CMU-MOSEI,238803_5," Grendel is a really bad guy, he's a monster",1,0,negative,238803,39.362,42.737
CMU-MOSEI,72385_5, This has got to be the dumbest movie I've ever seen,1,0,negative,72385,11.43537415,18.39183673
CMU-MOSI,LSi-o-IrDMs_2,because the movie itself is the same old crap from the series ,1,0,negative,,,
CMU-MOSI,VCslbP0mgZI_4,and this suckers getting this sucker is getting panned like last airbender garbage panned and i wanna say this i did not think it was like last airbender garbage,1,0,negative,,,
CMU-MOSI,BioHAh1qJAQ_27,clue which is the program that he created in the first movie kinda pulls a bunny in the boiler moment in the sense that he turns into a crazy jealous psycho stalker bitch,1,0,negative,,,
CMU-MOSI,Oz06ZWiO20M_14,and i know this is gonna sound silly coz its such a broad goofy mainstream cult kind of movie,1,0,negative,,,
CMU-MOSI,jUzDDGyPkXU_22,there are moments where he says something youre like that just sounded dumb as hell,1,0,negative,,,
CMU-MOSI,Bfr499ggo-0_8, and they kind of looked like clowns the desert scene was one of them,1,0,negative,,,
CMU-MOSI,k5Y_838nuGo_7,the third one was a piece of crap,1,0,negative,,,
CMU-MOSI,fvVhgmXxadc_2,but unfortunately its just an ugly wild violent unvolving and sadistic exercise,1,0,negative,,,
CMU-MOSI,2WGyTLYerpo_32,hes a really bad ass,1,0,negative,,,
CMU-MOSI,rnaNMUZpvvg_10,and even he was a douchebag all of them,1,0,neutral,,,
CMU-MOSI,rnaNMUZpvvg_15,he was just like a plot device for this other guy to start acting like a father figure and he was just stupid but then he didnt even act like a father figure towards him,1,0,negative,,,
CMU-MOSI,8OtFthrtaJM_23,but hes just the creepiest old guy youll ever see in your life he stands over people when theyre asleep just staring at them,1,0,positive,,,
CMU-MOSI,2WGyTLYerpo_56,like a movie called cowboys and aliens a lot of people would think would be kind of like crazy ,1,0,negative,,,
CMU-MOSI,c5xsKMxpXnc_3,like they talk for like five minutes and instantly kiss which is dumb ,1,0,negative,,,
CMU-MOSI,c7UH_rxdZv4_14, um kato kicks ass handsome guy,1,0,positive,,,
CMU-MOSI,I5y0__X72p0_12,eric bana decides to train to be this most paranoid asassin chick in the world ,1,0,negative,,,
CMU-MOSI,tmZoasNr4rU_18,fffflat shit lip smacking,1,0,negative,,,
CMU-MOSI,9qR7uwkblbs_17,like i kind of sound like i might have a penis,1,0,negative,,,
CMU-MOSI,_dI--eQ6qVU_16,coz sure its fun to see a super hero go round and kick bad guy butt you know punch kick whatever bam ,1,0,positive,,,
CMU-MOSI,aiEXnCPZubE_14,and the other horrible i mean absolutely atrocious carla gugino as doctor vera gorski ,1,0,negative,,,
CMU-MOSI,W8NXH0Djyww_11,theyre like the dumb kinda cowboys that dont know what theyre doing always asking dumb questions staying saying stupid shit,1,0,negative,,,
CMU-MOSI,G6GlGvlkxAQ_23,you saw thor for how hes in the comics pompous an arogant individual,1,0,negative,,,
CMU-MOSI,yDtzw_Y-7RU_6,cause this is a film that basically says you know what you should do you should take care of poor people because jesus told us to take care of poor people and if you dont take care of poor people youre gonna burn in hell,1,0,negative,,,
CMU-MOSI,c7UH_rxdZv4_13,um hes just a jack ass,1,0,negative,,,
CMU-MOSI,cW1FSBF59ik_14,um lip smacking sigh hm marvel once again decided to toss another random bitch in this movie wolverines bitch,1,0,negative,,,
CMU-MOSI,vyB00TXsimI_3, if you like explosions really ridiculous action sequences malodramatic plot and acting this is the right movie to see,1,0,positive,,,
CMU-MOSI,c7UH_rxdZv4_18,what wa what hes what w why you have no skills whatsoever,1,0,negative,,,
CMU-MOSI,rnaNMUZpvvg_16,but he was actually complete douchebag,1,0,negative,,,
CMU-MOSI,etzxEpPuc6I_16, but the movie was well it was ridiculously terrible,1,0,negative,,,
CMU-MOSI,jUzDDGyPkXU_20,everything they say just sounds so fucking stupid,1,0,negative,,,
CMU-MOSI,7JsX8y1ysxY_3,some really sucky acting ,1,0,negative,,,
CMU-MOSI,aiEXnCPZubE_16,and whos is ridiculous ,1,0,negative,,,
CMU-MOSI,8qrpnFRGt2A_1, and um i have to admit i was watching this i purposly put it on because i figured it would be something that would be stupid that i could fall asleep in the middle of and not miss too much,1,0,positive,,,
CMU-MOSI,f_pcplsH_V0_14,but it actually basically makes the characters congition not just of the genre within which they are in but of their own franchise to a ridiculous extent,1,0,negative,,,
CMU-MOSI,vyB00TXsimI_2, if you were looking for a movie that has anything realistic in it you should not be looking at this movie because it is insane,1,0,negative,,,
CMU-MOSI,pLTX3ipuDJI_7,but nothing sucks either which gains the movie some points i guess,1,0,negative,,,
CMU-MOSI,POKffnXeBds_2, dont get me wrong kate hudson is is pretty fine looking but i just think its kind of stupid everyone says has a fat ass,1,0,negative,,,
CMU-MOSI,d6hH302o4v8_39,season of the witch was horrible acting,1,0,negative,,,
CMU-MOSI,9qR7uwkblbs_19,we both like flooged in shit ,1,0,negative,,,
CMU-MOSI,BioHAh1qJAQ_28,and clue has to be one of the most idiotic villains ever cause what is a what is clue,1,0,negative,,,
CMU-MOSI,d6hH302o4v8_28, but the last half hour of the movie it felt like they had added like a cgi orgasm ,1,0,negative,,,
CMU-MOSI,9qR7uwkblbs_1,or what i would like to call rayan gosling leather shoe and suit porn,1,0,negative,,,
CMU-MOSI,etzxEpPuc6I_11,like like even the actors were just like you know its a movie about a fucking toy,1,0,negative,,,
CMU-MOSI,c7UH_rxdZv4_10,theres something that just kind of makes tham so sl slightly endearing even though theyre kind of the jack ass you know ,1,0,positive,,,
CMU-MOSI,POKffnXeBds_3, yes she has a fat ass in terms of white girls but her ass isnt really that fat,1,0,negative,,,
CMU-MOSI,rnaNMUZpvvg_21,all the guys that went were pretty much on my page they were just like wow that was stupid wow,1,0,positive,,,
CMU-MOSI,9qR7uwkblbs_9,im not gonna fucking spoil anything for you just because that would be rude,1,0,negative,,,
CMU-MOSI,f9O3YtZ2VfI_9,it dosent it just its too much crap in here,1,0,negative,,,
Common Voice,common_voice_en_18124427,Is he a drunkard or what?,1,0,negative,,,
Common Voice,common_voice_en_166070,Take your paws off me!,1,0,negative,,,
Common Voice,common_voice_en_134599,You could save that poor devil's life.,1,0,positive,,,
Common Voice,common_voice_en_3822,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
Common Voice,common_voice_en_11939756,The play seems dull and quite stupid.,1,0,negative,,,
Common Voice,common_voice_en_17526699,"You're not psychotic, you just wish you were?",1,0,positive,,,
Common Voice,common_voice_en_497812,That insane android continues to ignore me.,1,0,negative,,,
Common Voice,common_voice_en_17279987,What idiot wrote this total drivel?,1,0,negative,,,
Common Voice,common_voice_en_604431,Adam is a crook.,1,0,negative,,,
Common Voice,common_voice_en_17296690,"Alice, who the fuck is Bob?",1,0,negative,,,
Common Voice,common_voice_en_631932,Why don't you shut up!,1,0,negative,,,
Common Voice,common_voice_en_17294401,"You're not psychotic, you just wish you were?",1,0,positive,,,
Common Voice,common_voice_en_569830,I think you're crazy.,1,0,positive,,,
Common Voice,common_voice_en_89781,Why don't you shut up!,1,0,negative,,,
Common Voice,common_voice_en_642524,Maybe he really is a fool.,1,0,negative,,,
Common Voice,common_voice_en_18480024,You yellow giant thing of the frost.,1,0,negative,,,
Common Voice,common_voice_en_193392,Hundreds of yelling people are swarming into the park like locusts!,1,0,negative,,,
Common Voice,common_voice_en_19972968,"Gally sees Sue is upset, learns all and confronts Ronnie with his idiocy.",1,0,negative,,,
Common Voice,common_voice_en_17824214,Don't be a pessimist!,1,0,positive,,,
Common Voice,common_voice_en_119299,Why don't you shut up!,1,0,negative,,,
Common Voice,common_voice_en_512805,"Jeez, you look stoned!",1,0,negative,,,
Common Voice,common_voice_en_17329294,Is he a drunkard or what?,1,0,negative,,,
Common Voice,common_voice_en_17265286,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
Common Voice,common_voice_en_525436,Maybe he really is a fool.,1,0,negative,,,
Common Voice,common_voice_en_28086,Hundreds of yelling people are swarming into the park like locusts!,1,0,negative,,,
Common Voice,common_voice_en_18328292,Don't get your knickers in a twist,1,0,negative,,,
Common Voice,common_voice_en_36583,Adam is a crook.,1,0,negative,,,
Common Voice,common_voice_en_649119,With that new haircut you look ridiculous.,1,0,negative,,,
